gene	Barbera_Soft	Negroamaro_Soft	Primitivo_Soft	Refosco_Soft	Sangiovese_Soft
Vitvi04g00035	166.127	257.761	175.279	323.903	195.334
Vitvi04g00034	145.495	544.597	49.76	41.3962	84.1767
Vitvi04g00031	1.69294	5.9555	0	1.25247	2.32526
Vitvi04g00030	0	0.306752	0	0	0
Vitvi01g00090	92.7642	126.958	69.1909	94.4182	134.43
Vitvi01g00091	2901.19	1090.2	3983.71	1062.62	420.73
Vitvi11g00672	468.136	293.044	335.294	310.159	317.663
Vitvi11g00670	1.59749	0.689668	0.419536	0.413113	4.24321
Vitvi11g00677	0.830873	3.15363	2.51575	3.91527	3.01378
Vitvi01g00097	194.751	207.062	202.579	231.267	203.391
Vitvi11g00676	1238.98	1193.27	910.163	887.911	807.685
Vitvi11g00674	1.21789	6.80351	2.70573	8.7173	3.73664
Vitvi17g00791	1.09681	1.11368	0.723563	0	1.11616
Vitvi17g00796	32.5704	60.0054	38.9352	71.025	31.4843
Vitvi17g00797	140.872	131.786	204.469	160.726	134.36
Vitvi07g00787	309.66	509.482	309.038	270.799	292.182
Vitvi16g01836	103.074	112.237	95.7043	60.0343	90.5634
Vitvi04g01344	146.792	154.653	179.848	178.127	169.587
Vitvi04g01345	1.92768	6.69018	3.69987	9.31858	9.92582
Vitvi04g01343	13.8054	28.6916	8.79216	15.1112	12.2027
Vitvi04g01341	9.04042	10.6117	0.764592	16.34	2.86104
Vitvi19g00807	1.36275	1.95777	10.3761	4.04947	4.59191
Vitvi07g00439	192.549	6.14892	18.9222	89.5884	124.522
Vitvi07g00430	83.1577	99.1082	82.0492	304.355	90.8944
Vitvi07g00432	1009.73	736.543	960.194	902.347	763.952
Vitvi07g00434	1599.47	1295.07	1105.11	1194.33	1262.66
Vitvi07g00435	1127.06	757.48	1044.75	947.143	890.276
Vitvi07g00436	119.188	139.99	160.422	136.64	135.098
Vitvi07g02465	69.9057	26.6626	65.3877	43.5063	32.6539
Vitvi07g02464	0.830873	1.07258	1.03517	2.72333	0.427636
Vitvi07g02467	326.5	369.179	280.157	345.836	244.794
Vitvi07g02462	852.553	599.394	678.445	557.783	422.097
Vitvi19g02073	13.5963	24.2829	12.6183	11.1183	17.4628
Vitvi07g02469	8.55794	8.94868	20.5743	14.5428	18.8055
Vitvi15g00759	87.6218	58.1018	126.182	180.752	84.714
Vitvi15g00752	240.748	183.339	294.564	206.784	151.648
Vitvi15g00753	332.847	415.894	536.074	734.022	135.676
Vitvi06g00295	2648.41	2306.52	2309.63	2534.05	1895.05
Vitvi06g00294	537.723	341.697	533.091	201.47	314.965
Vitvi06g00296	571.395	679.205	678.534	696.507	664.468
Vitvi06g00290	485.234	414.855	401.211	595.324	406.857
Vitvi06g00292	139.107	276.763	305.067	749.476	505.335
Vitvi06g00299	7.29621	12.4502	4.91745	1.17881	4.39082
Vitvi06g00298	139.572	147.652	121.19	85.543	147.518
Vitvi14g00308	0	0.306752	0	0	0
Vitvi14g00303	328.337	894.123	597.443	433.095	465.75
